Reference,Administrative divisions,Location,Epidemiological unit,Number of outbreaks,Start Date,End Date,State,Report,,State,Count of State
VRI-003558-2017 (1000092965),Kelantan,Kg. Gong Wayang,Backyard,1,23/3/2017,1/4/2017,Kelantan,,,,
VRI-003559-2017 (1000092964),Kelantan,Kg. Kandis,Backyard,1,23/3/2017,1/4/2017,Kelantan,,,,
VRI-003560-2017 (1000092963),Kelantan,Kg. Baru,Backyard,1,23/3/2017,1/4/2017,Kelantan,,,,
VRI-003561-2017 (1000092962),Kelantan,Kg. Aman Kandis,Backyard,1,23/3/2017,1/4/2017,Kelantan,,,,
VRI-002841-2017 (1000092960),Kelantan,Kg. Dusun Durian,Backyard,1,13/3/2017,1/4/2017,Kelantan,,,,
VRI-003604-2017 (1000092959),Kelantan,Kg. Belukar,Backyard,1,26/3/2017,1/4/2017,Kelantan,,,,
VRI-003118-2017 (1000092958),Kelantan,Kg. Kebakat,Backyard,1,15/3/2017,1/4/2017,Kelantan,,,,
VRI-003120-2017 (1000092956),Kelantan,Kg. Cherang Melintang,Backyard,1,15/3/2017,1/4/2017,Kelantan,,,,
VRI-002983-2017 (1000092955),Kelantan,Kg. Garong,Backyard,1,14/3/2017,1/4/2017,Kelantan,,,,
VRI-003277-2017 (1000092954),Kelantan,Kg. Kubang Bemban,Backyard,1,16/3/2017,1/4/2017,Kelantan,,,,
VRI-003290-2017 (1000092952),Kelantan,Kg. Repek,Backyard,1,16/3/2017,1/4/2017,Kelantan,,,,
VRI003125-2017 (1000092951),Kelantan,Kg. Tualang Rendah,Backyard,1,15/3/2017,1/4/2017,Kelantan,,,,
VRI-003122-2017 (1000092927),Kelantan,Kg. Padang Pak Omar,Backyard,1,14/3/2017,1/4/2017,Kelantan,,,,
VRI-003557-2017 (1000092926),Kelantan,Kg. Kor Batu 8,Backyard,1,23/3/2017,1/4/2017,Kelantan,,,,
VRI-003001-2017 (1000092925),Kelantan,Kg. Parit Gopi,Backyard,1,14/3/2017,1/4/2017,Kelantan,,,,
VRI-002816-2017 (1000092924),Kelantan,Kg. Padang Mengkali,Backyard,1,13/3/2017,1/4/2017,Kelantan,,,,
VRI-002811-2017 (1000092913),Kelantan,Berek 12,Backyard,1,13/3/2017,1/4/2017,Kelantan,,,,
VRI-002817-2017 (1000092912),Kelantan,Kg. Machang Bobok,Backyard,1,13/3/2017,1/4/2017,Kelantan,,,,
VR_-002822-2017 (1000092911),Kelantan,Kg. Kenali Kenali,Backyard,1,13/3/2017,1/4/2017,Kelantan,,,,
VRI-002818-2017 (1000092910),Kelantan,Kg. Jaya Pasir Hor,Backyard,1,13/3/2017,1/4/2017,Kelantan,,,,
VRI-002724-2017 (1000092894),Kelantan,Kg. Aur Duri,Village,1,12/3/2017,1/4/2017,Kelantan,,,,
VRI-002515-2017 (1000092893),Kelantan,Kg. Titian (Gertak) Lembu. Teluk Kandis Salor,Backyard,1,8/3/2017,1/4/2017,Kelantan,,,,
VRI-002521-2017 (1000092892),Kelantan,Kg. Padang Layang Pendek,Backyard,1,8/3/2017,1/4/2017,Kelantan,,,,
VRI-003000-2017 (1000086879),Kelantan,Kg. Sg Tendong,Backyard,1,14/3/2017,27/3/2017,Kelantan,,,,
VRI-003565-2017 (1000086878),Kelantan,Kg. Paloh Dalam,Backyard,1,23/3/2017,27/3/2017,Kelantan,,,,
VRI-002808-2017 (1000086877),Kelantan,Kg. Bukit Merbau,Backyard,1,13/3/2017,27/3/2017,Kelantan,,,,
VRI-002767-2017 (1000086876),Kelantan,Kg. Serian,Backyard,1,12/3/2017,27/3/2017,Kelantan,,,,
VRI-002656-2017 (1000086875),Kelantan,Kg. Kedondong,Backyard,1,11/3/2017,27/3/2017,Kelantan,,,,
VRI-002654-2017 (1000086874),Kelantan,Kg. Tempoyak Bunut Susu,Backyard,1,11/3/2017,27/3/2017,Kelantan,,,,
VRI-002655-2017 (1000086873),Kelantan,Kg. Becah Semak Bunut Susu,Backyard,1,11/3/2017,27/3/2017,Kelantan,,,,
VRI-002585-2017 (1000086872),Kelantan,Kedai Mulong,Backyard,1,7/3/2017,27/3/2017,Kelantan,,,,
VRI-002575-2017 (1000086871),Kelantan,Kg. Surau Kota,Backyard,1,9/3/2017,27/3/2017,Kelantan,,,,
VRI-002520-2017 (1000086870),Kelantan,Kg Chabang Tiga Larak Pendek,Backyard,1,8/3/2017,27/3/2017,Kelantan,,,,
JPVNK/600/B/04/08/JLD(2) (1000085854),Kelantan,Kg.Pulau Tebu,Backyard,1,28/2/2017,27/3/2017,Kelantan,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Reference,Administrative divisions,Location,Epidemiological unit,Number of outbreaks Start date,Start Date,End Date,State,Report,,Administrative divisions,Sum of Number of outbreaks Start date
1332/18 (1000106355),Sarawak,"Kawasan Taman Sri Muhibah, Batu 13, Jalan Kuching/Serian",Village,1,27/8/2018,27/11/2018,Sarawak,Event 2313,,Kedah,1
39/19 R (1000111527),Sarawak,Kawasan Tabuan Dusun,Village,1,10/1/2019,14/4/2019,Sarawak,,,Perak,3
61/19 R (1000110020),Sarawak,Kampung Sebuluh,Village,1,12/1/2019,14/4/2019,Sarawak,,,Perlis,2
60/19 R (1000110019),Sarawak,Kampung Grogo,Village,1,14/1/2019,14/4/2019,Sarawak,,,Sarawak,821
0757/22 R (ob_105763),Sarawak,"NO 175,KAMPUNG SELAMPIT",Village,1,11/5/2022,31/12/2023,Sarawak,,,,
0828/22 R (ob_105764),Sarawak,AREA JALAN TUN AHMAD ZAIDI,Village,1,10/5/2022,31/12/2023,Sarawak,,,,
0844/22 R (ob_105765),Sarawak,"NO.721 KAMPUNG SEROMAH,94000 BAU",Village,1,18/5/2022,31/12/2023,Sarawak,,,,
1115/22 R (ob_105766),Sarawak,AREA FISHERIES OFFICE SEMENGGOK,Village,1,7/7/2022,31/12/2023,Sarawak,,,,
1160/22 R (ob_105767),Sarawak,BLOK B6.2.7 RPR PLAT RANTAU PANJANG 96000 SIBU,Village,1,14/7/2022,31/12/2023,Sarawak,,,,
1257/22 R (ob_105768),Sarawak,"BLOCK E, BANDAR RIA PARK,BINTULU",Village,1,3/8/2022,31/12/2023,Sarawak,,,,
1874/21 R (ob_93120),Sarawak,NO.83 LRG 8 TMN BAWANG HEIGHT,Village,1,12/10/2021,12/1/2022,Sarawak,,,,
0607/22 R (ob_102373),Sarawak,"JALAN KEDANG, SRI AMAN",Village,1,12/4/2022,6/7/2022,Sarawak,,,,
0629/22 R (ob_102375),Sarawak,"TANJUNG KIDURONG,BINTULU",Village,1,6/4/2022,6/7/2022,Sarawak,,,,
0620/22 R (ob_102374),Sarawak,KPG JANGKAR,Village,1,12/4/2022,6/7/2022,Sarawak,,,,
"0597,598,599/22 R (ob_102372)",Sarawak,KPG TENGAH PERPAT 94650 KABONG,Village,1,13/4/2022,6/7/2022,Sarawak,,,,
0509/22 R (ob_102371),Sarawak,"LOT 6533,LORONG TUNKU ABDUL RAHMAN E,TAMAN DASING 4,MIRI",Village,1,30/3/2022,1/6/2022,Sarawak,,,,
0367/22 R (ob_102370),Sarawak,WEI YUAN XIANG SEAFOOD BT KAWA,Village,1,6/3/2022,1/6/2022,Sarawak,,,,
0347/22 R (ob_102369),Sarawak,RH PHILIP SUNGAI ARA 95900 LUBOK ANTU,Village,1,28/2/2022,29/4/2022,Sarawak,,,,
0323/22 R (ob_102368),Sarawak,"LOT 292, TELOK ASSAN, JLN PERADOM 96000 SIBU",Village,1,27/2/2022,29/4/2022,Sarawak,,,,
0311/22 R (ob_102367),Sarawak,"LOT 911,SL 20 GOLDEN PALM BATU 11 1/2 JALAN KUCHING",Village,1,25/2/2022,29/4/2022,Sarawak,,,,
0310/22 R (ob_102366),Sarawak,NO.46 KAMPUNG SUNGAI TAPANG,Village,1,22/2/2022,29/4/2022,Sarawak,,,,
0246/22 R (ob_102365),Sarawak,"LORONG KANDIS 6D,96000 SIBU SARAWAK",Village,1,16/2/2022,29/4/2022,Sarawak,,,,
0166/22 R (ob_97639),Sarawak,KPG TEBAKO 94500 LUNDU,Village,1,4/2/2022,29/4/2022,Sarawak,,,,
2202/21 R (ob_94884),Sarawak,KPG BERADAU LOT 550 LUNGKONG RUBBER SDN BHD,Village,1,14/12/2021,14/3/2022,Sarawak,,,,
2141/21 R (ob_94413),Sarawak,TAWAKAL MEGAH PALM ESTATE SUBIS MIRI,Village,1,20/11/2021,20/2/2022,Sarawak,,,,
1974/21 R (ob_93122),Sarawak,NO 136 LORONG PERMATA 13 B 7 SG PIAN,Village,1,25/10/2021,25/1/2022,Sarawak,,,,
1877/21 R (ob_93121),Sarawak,KPG SEMAYANG BARU SG BEJAIT 96700 KANOWIT,Village,1,12/10/2021,12/1/2022,Sarawak,,,,
1658/21 R (ob_93116),Sarawak,KAMPUNG TEMA SAAN,Village,1,7/9/2021,7/12/2021,Sarawak,,,,
1381/21 R (ob_90435),Sarawak,"NO 237 LORONG F JALAN LAPANGAN TERBANG 3,93350 KUCHING",Village,1,28/7/2021,28/10/2021,Sarawak,,,,
1031/21 R (ob_86263),Sarawak,"NO.957 A,JALAN LOPENG MIRI",Village,1,15/5/2021,15/8/2021,Sarawak,,,,
798/21 R (ob_84721),Sarawak,"block 10, tingkat 4, taman sri harmoni",Village,1,14/4/2021,14/7/2021,Sarawak,,,,
613/21 R (ob_83860),Sarawak,SALCRA RIMBAS,Village,1,9/3/2021,9/6/2021,Sarawak,,,,
530/21 R (ob_83660),Sarawak,"no. 5 kg. bagak, lundu",Village,1,16/3/2021,16/6/2021,Sarawak,,,,
467/21 R (ob_83067),Sarawak,NO.5 KAMPUNG BAWANG BATU 16 JALAN PENRISSEN 93250 KUCHING SARAWAK,Village,1,9/3/2021,9/6/2021,Sarawak,,,,
462/21 R (ob_83065),Sarawak,KG. SLABI ENTUKUH,Village,1,7/3/2021,7/6/2021,Sarawak,,,,
452/21 R (ob_83064),Sarawak,"NO. 5 A, KG. RUKAM, 94500 LUNDU",Village,1,4/3/2021,4/6/2021,Sarawak,,,,
259/21 R (ob_82724),Sarawak,"LORONG 1, KG. BRATAN, JALAN PENRISSEN",Village,1,15/2/2021,15/5/2021,Sarawak,,,,
1683/19 R (1000123170),Sarawak,"Batu 10, Jalan Kuching-Serian",Village,1,14/11/2019,14/2/2020,Sarawak,,,,
144/19 R (1000121770),Sarawak,Kpg Grogo,Village,1,25/1/2019,25/4/2019,Sarawak,,,,
114/19 R (1000111530),Sarawak,NO. 2A KPG HJ BAKI,Village,1,23/1/2019,23/4/2019,Sarawak,,,,
152/19 R (1000111533),Sarawak,"No 86, Kampung Siol Kandis, Petra Jay",Village,1,30/1/2019,30/4/2019,Sarawak,,,,
78/19 R (1000111528),Sarawak,Kawasan Kampung Keranji,Village,1,18/1/2019,18/4/2019,Sarawak,,,,
73/19 R (1000110021),Sarawak,Kampung Bobak Singai,Village,1,13/1/2019,13/4/2019,Sarawak,,,,
1640/18 (1000108019),Sarawak,"Kpg. Daun, Singai, Jalan Troduh",Village,1,8/11/2018,8/2/2019,Sarawak,,,,
1783/18 (1000108866),Sarawak,"No.63, Lrg. 10, Sg. Maong, Jalan Kenyalang",Village,1,3/12/2018,3/3/2019,Sarawak,,,,
1489/18 (1000107273),Sarawak,"Kawasan PMX Auto Workshop. Lrg 5, Jalan Semaba",Village,1,19/10/2018,19/1/2019,Sarawak,,,,
1387/18 (1000107075),Sarawak,Kampung Peninjau Lama,Village,1,20/9/2018,20/12/2018,Sarawak,,,,
1116/18 (1000106450),Sarawak,"No. 152, Jalan Sungai Maong Tengah",Village,1,1/6/2018,1/9/2018,Sarawak,,,,
1356/18 (1000106357),Sarawak,"Kwsn depan JPJ, Batu 12, Jalan Kuching/Serian",Village,1,1/10/2018,1/1/2019,Sarawak,,,,
1324/18 (1000106349),Sarawak,"No. 96, Lorong Ong Hap Leong",Village,1,26/9/2018,26/12/2018,Sarawak,,,,
1322/18 (1000106347),Sarawak,"Lot 229, Ph 4, Tabuan Desa",Village,1,26/9/2018,26/12/2018,Sarawak,,,,
1275/18 (1000106342),Sarawak,"Chong Lin Park, Jalan Tabuan",Village,1,20/9/2018,20/12/2018,Sarawak,,,,
1219/18 (1000106341),Sarawak,"Lorong Batu Kawa 4, Jalan Batu Kawa",Village,1,12/9/2018,12/12/2018,Sarawak,,,,
VRI-006089-2018 (1000103613),Sarawak,"Kpg. Sg. Agas Baru, Batu 12, Jalan Matang",Village,1,29/7/2018,31/10/2018,Sarawak,,,,
VRI-003733-2018 (1000100883),Sarawak,Kampung Singai Bau,Village,1,20/5/2018,29/8/2018,Sarawak,,,,
VRI-003590-2018 (1000100732),Sarawak,"Kampung Selarat, Sematan",Village,1,18/5/2018,19/8/2018,Sarawak,,,,
VRI-013123-2017 (1000097865),Sarawak,"RPR Landeh, Kota Padawan",Village,1,16/11/2017,16/2/2018,Sarawak,,,,
VRI-013122-2017 (1000097864),Sarawak,"Everbright Estate, Arang Road",Village,1,14/11/2017,16/2/2018,Sarawak,,,,
0145/22 R (ob_97638),Sarawak,"RH WALTER, MUNGGU DEMAM,BATU LINTANG",Village,1,11/1/2022,26/4/2022,Sarawak,,,,
0141/22 R (ob_97637),Sarawak,NO 45 JALAN BUKIT ENSUNA,Village,1,26/1/2022,26/4/2022,Sarawak,,,,
0136/22 R (ob_97636),Sarawak,BEVERLY HILL LRG 3,Village,1,24/1/2022,26/4/2022,Sarawak,,,,
0135/22 R (ob_97635),Sarawak,YUDES CAFETERIA BT 11 AREA,Village,1,22/1/2022,26/4/2022,Sarawak,,,,
0132/22 R (ob_97634),Sarawak,"216, KPG KUAP BATU 10",Village,1,26/1/2022,26/4/2022,Sarawak,,,,
0103/22 R (ob_96210),Sarawak,SUNGAI TULAI 96500 BINTANGOR,Village,1,6/1/2022,26/4/2022,Sarawak,,,,
0004/22 R (ob_96209),Sarawak,"NO.50 BATU 11 JALAN KUCHING-SERIAN 93250 KUCHING,SARAWAK",Village,1,1/1/2022,26/4/2022,Sarawak,,,,
2206/21 R (ob_94885),Sarawak,DEPAN BANK RAKYAT(PASAR KAPIT),Village,1,15/12/2021,15/3/2022,Sarawak,,,,
2178/21 R (ob_94417),Sarawak,RH MORIS SG KARA B BUKIT PENINJAU MIRI,Village,1,25/11/2021,25/2/2022,Sarawak,,,,
2177/21 R (ob_94416),Sarawak,FOOD COURT RIAM,Village,1,1/12/2021,15/3/2022,Sarawak,,,,
2169/21 R (ob_94415),Sarawak,SMK LUTONG,Village,1,15/11/2021,23/2/2022,Sarawak,,,,
2168/21 R (ob_94414),Sarawak,LOT 2408 NO 274 RIAM ROAD,Village,1,13/11/2021,23/2/2022,Sarawak,,,,
2046/21 R (ob_93124),Sarawak,NO 763 KPG SERIKIN,Village,1,23/11/2021,23/2/2022,Sarawak,,,,
1976/21 R (ob_93123),Sarawak,SUNGAI TULAI MERADONG,Village,1,7/11/2021,23/2/2022,Sarawak,,,,
1676/21 R (ob_93119),Sarawak,"SUBLOT 5899,LOT 3437, TAMAN LUAK INDAH",Village,1,4/9/2021,8/12/2021,Sarawak,,,,
1675/21 R (ob_93118),Sarawak,LOT 2307 TAMAN BAYSHORE,Village,1,8/9/2021,8/12/2021,Sarawak,,,,
1674/21 R (ob_93117),Sarawak,LOT 3285 LORONG SEROJA 9 TUDAN PHASES,Village,1,6/9/2021,8/12/2021,Sarawak,,,,
952/19 R (1000121647),Sarawak,"No 267, Lot 289 Batu 10, Jalan Landeh, Taman Cinle",Village,1,3/7/2019,4/10/2019,Sarawak,,,,
VRI-012694-2017 (1000097840),Sarawak,Taman Dusun Indah Sejijak,Village,1,6/11/2017,5/2/2018,Sarawak,,,,
VRI-011411-2017 (1000095116),Sarawak,Batu Kawa,Village,1,9/10/2017,10/1/2018,Sarawak,,,,
VRI-011301-2017 (1000095107),Sarawak,Matang,Village,1,3/10/2017,1/1/2018,Sarawak,,,,
1673/21 R (ob_90825),Sarawak,LOT 4249 TAMAN SIAVIEW JALAN CERSIS BAKAM MIRI,Village,1,5/9/2021,8/12/2021,Sarawak,,,,
1659/21 R (ob_90824),Sarawak,"KAMPUNG MUHIBBAH,BATU 37 JALAN KUCHING SERIAN",Village,1,8/9/2021,8/12/2021,Sarawak,,,,
1375/21 R (ob_88193),Sarawak,KAMPUNG MENTUNG MERAU,Village,1,20/7/2021,20/10/2021,Sarawak,,,,
1344/21 R (ob_88192),Sarawak,KAMPUNG SERIKIN 94000 BAU,Village,1,18/7/2021,20/10/2021,Sarawak,,,,
1327/21 R (ob_88191),Sarawak,KPG BARU MAWANG 94700 SERIAN,Village,1,8/7/2021,20/10/2021,Sarawak,,,,
1286/21 R (ob_87651),Sarawak,RH DAUT SG SEBAYA JALAN SIBU/BINTULU 96000 SELANGAU,Village,1,28/6/2021,28/9/2021,Sarawak,,,,
1264/21 R (ob_87460),Sarawak,NO.3A KPG SERAYAN HULU LUNDU,Village,1,1/7/2021,20/10/2021,Sarawak,,,,
1253/21 R (ob_87462),Sarawak,"LOT 41,LORONG 21 F TAMAN SAMARINDAH",Village,1,25/5/2021,25/8/2021,Sarawak,,,,
1269/21 R (ob_87461),Sarawak,KAMPUNG MOHD TAHA SIMPANG 4 RIMBUNAN HIJAU BAKONG,Village,1,24/6/2021,28/9/2021,Sarawak,,,,
"1170/21 R, 1175/21 r (ob_87042)",Sarawak,KAWASAN AIRPORT BARU MUKAH,Village,1,16/6/2021,28/9/2021,Sarawak,,,,
1203/21 R (ob_87041),Sarawak,KAMPUNG PATI ENSENGEI,Village,1,16/6/2021,28/9/2021,Sarawak,,,,
1192/21 R (ob_87040),Sarawak,"NO.80,LORONG 1-1,KPG MAMBONG BT.16,JALAN PENRISSEN",Village,1,15/6/2021,28/9/2021,Sarawak,,,,
1167/21 R (ob_87038),Sarawak,KAMPUNG SUNGAI BELIMBING,Village,1,11/6/2021,28/9/2021,Sarawak,,,,
1119/21 R (ob_87036),Sarawak,"HOUSE NO.858,JLN PAKU,LORONG 1, 94000 BAU",Village,1,6/6/2021,28/9/2021,Sarawak,,,,
1189/21 R (ob_87039),Sarawak,"RH MANDAU,SG RIAN,SPAOH",Village,1,30/5/2021,30/8/2021,Sarawak,,,,
1160/21 R (ob_87037),Sarawak,"RH NYANGGAU,BATU 36,JLN OYA,SELANGAU,SIBU",Village,1,30/5/2021,30/8/2021,Sarawak,,,,
1111/21 R (ob_87035),Sarawak,RH LANG DIJIH SELANGAU 96000 SELANGAU,Village,1,23/5/2021,30/8/2021,Sarawak,,,,
1110/21 R (ob_87034),Sarawak,"RH AUGUSTINE BATU 28,JALAN OYA SEKUAU",Village,1,22/5/2021,30/8/2021,Sarawak,,,,
1109/21 R (ob_86586),Sarawak,"161, PENRISSEN ROAD",Village,1,3/6/2021,28/9/2021,Sarawak,,,,
1092/21 R (ob_86588),Sarawak,kampung gaya lama,Village,1,8/4/2021,30/7/2021,Sarawak,,,,
1084/21 R (ob_86587),Sarawak,LAWAS BAZAR,Village,1,30/4/2021,30/7/2021,Sarawak,,,,
1098/21 R (ob_86585),Sarawak,"house no. 40, kg. keranji, lundu",Village,1,28/5/2021,30/8/2021,Sarawak,,,,
1097/21 R (ob_86584),Sarawak,"kg. mambong, batu 15, jalan mambong sarig",Village,1,29/5/2021,30/8/2021,Sarawak,,,,
1074/21 R (ob_86266),Sarawak,"rh dingun,sekuau 96000 selangau",Village,1,19/5/2021,30/8/2021,Sarawak,,,,
1046/21 R (ob_86265),Sarawak,kpg bunga jalan baki-riih,Village,1,17/5/2021,30/8/2021,Sarawak,,,,
1037/21 R (ob_86264),Sarawak,"taman desa orkid,96400 mukah",Village,1,20/5/2021,30/8/2021,Sarawak,,,,
1027/21 R (ob_86262),Sarawak,"rh insil,skim skrang",Village,1,1/5/2021,30/8/2021,Sarawak,,,,
1026/21 R (ob_86261),Sarawak,"harn len pelita begunan,sri aman",Village,1,11/5/2021,30/8/2021,Sarawak,,,,
1008/21 R (ob_86080),Sarawak,RAINBOW MARKET BT 13 93250 KUCHING SARAWAK,Village,1,11/5/2021,30/8/2021,Sarawak,,,,
997/21 R (ob_85677),Sarawak,"no. 386, lrg 3a, jalan rundim, kpg. kuap",Village,1,8/5/2021,30/8/2021,Sarawak,,,,
994/21 R (ob_85676),Sarawak,"44A, JALAN HUA KIEW ROAD, 96000 SIBU",Village,1,2/5/2021,30/8/2021,Sarawak,,,,
953/21 R (ob_85210),Sarawak,"rumah unggat nangga bunut, 96800 kanowit",Village,1,20/4/2021,25/7/2021,Sarawak,,,,
911/21 R (ob_85209),Sarawak,"no. 27 lorong 3, taman golden palm, batu 11 1/2 jalan kuching-serian",Village,1,25/4/2021,25/7/2021,Sarawak,,,,
802/21 R (ob_85208),Sarawak,kampung mongkos,Village,1,14/4/2021,25/7/2021,Sarawak,,,,
798/21 R (ob_85207),Sarawak,"block 10, tingkat 4, taman sri harmoni",Village,1,10/4/2021,25/7/2021,Sarawak,,,,
794/21 R (ob_84720),Sarawak,"lot 12, kg. muhibbah kuala baram",Village,1,8/4/2021,25/7/2021,Sarawak,,,,
793/21 R (ob_84719),Sarawak,kampung lereng bukit miri,Village,1,8/4/2021,25/7/2021,Sarawak,,,,
758/21 R (ob_84718),Sarawak,"jalan sebuku, 94000 bau",Village,1,7/4/2021,25/7/2021,Sarawak,,,,
677/21 R (ob_84225),Sarawak,"LOT 1403, TAMAN HARMONI",Village,1,24/3/2021,26/6/2021,Sarawak,,,,
689/21 R (ob_84226),Sarawak,PEDAAN BARAM,Village,1,5/3/2021,17/6/2021,Sarawak,,,,
679/21 R (ob_83863),Sarawak,"1E LORONG OYA LAMA, 96000 SIBU",Village,1,21/3/2021,26/6/2021,Sarawak,,,,
669/21 R (ob_83861),Sarawak,KG. SEBANDI HULU,Village,1,23/3/2021,26/6/2021,Sarawak,,,,
636/21 R (ob_83859),Sarawak,TAMAN 101 TARAT SERIAN,Village,1,26/3/2021,26/6/2021,Sarawak,,,,
675/21 R (ob_83862),Sarawak,"JALAM KEJATAU, 95000 SRI AMAN",Village,1,12/3/2021,17/6/2021,Sarawak,,,,
604/21 R (ob_83663),Sarawak,"lot 1325, kg. tudan lutong",Village,1,23/3/2021,26/6/2021,Sarawak,,,,
593/21 R (ob_83662),Sarawak,"RH JOK BT 11, JLN OYA",Village,1,15/3/2021,17/6/2021,Sarawak,,,,
536/21 R (ob_83661),Sarawak,"lot 3098, tudan phase 6, kuala baram",Village,1,17/3/2021,17/6/2021,Sarawak,,,,
529/21 R (ob_83659),Sarawak,"NO. 185, TAMAN BAWANG HEIGHT, LRG 4",Village,1,16/3/2021,17/6/2021,Sarawak,,,,
523/21 R (ob_83658),Sarawak,TAMAN HARMONI,Village,1,12/3/2021,17/6/2021,Sarawak,,,,
519/21 R (ob_83657),Sarawak,dewan suarah sri aman,Village,1,11/3/2021,17/6/2021,Sarawak,,,,
515/21 R (ob_83656),Sarawak,pasar srijaya,Village,1,10/3/2021,17/6/2021,Sarawak,,,,
494/21 R (ob_83655),Sarawak,kg. keranji,Village,1,11/3/2021,17/6/2021,Sarawak,,,,
492/21 R (ob_83654),Sarawak,kg. sabako ii,Village,1,13/3/2021,17/6/2021,Sarawak,,,,
484/21 R (ob_83653),Sarawak,,Village,1,12/3/2021,17/6/2021,Sarawak,,,,
483/21 R (ob_83652),Sarawak,kg. BRATAN padawan,Village,1,11/3/2021,17/6/2021,Sarawak,,,,
466/21 R (ob_83066),Sarawak,RUMAH ENTERING SG. PASAI,Village,1,4/3/2021,17/6/2021,Sarawak,,,,
311/21 R (ob_82726),Sarawak,"LORONG BAHAGIA SELATAN 5A, SIBU",Village,1,17/2/2021,22/5/2021,Sarawak,,,,
307/21 R (ob_82725),Sarawak,"NO. 1605, KG. SEGONG SINGAI, BAU",Village,1,22/2/2021,22/5/2021,Sarawak,,,,
"257/21 R, 258/21 R (ob_82723)",Sarawak,"LORONG 41, NO. HOUSE 414, KG. STENGGANG, BAU",Village,1,15/2/2021,22/5/2021,Sarawak,,,,
246/21 R (ob_82722),Sarawak,"LOT 11985 PH26, NO 36D TAMAN YEN YEN, JALAN MATANG",Village,1,10/2/2021,10/5/2021,Sarawak,,,,
243/21 R (ob_82721),Sarawak,"NO. 29A, LORONG 6 BUKIT ASSEK, SIBU",Village,1,8/2/2021,10/5/2021,Sarawak,,,,
225/21 R (ob_82720),Sarawak,"Kampung Plaie, Samarahan",Village,1,8/2/2021,10/5/2021,Sarawak,,,,
199/21 R (1000146499),Sarawak,"LOT 59, JALAN SEMBAU, KAMPUNG HILIR, 95000 SRI AMAN",Village,1,2/2/2021,10/5/2021,Sarawak,,,,
203/21 R (1000146500),Sarawak,"LADANG SAWIT BATU KAYA SALCRA, 95900 LUBOK ANTU",Village,1,28/1/2021,28/4/2021,Sarawak,,,,
193/21 R (1000146498),Sarawak,"LOT 5253, JALAN OYA, TAMAN TUNKU, 98000 MIRI",Village,1,21/1/2021,28/4/2021,Sarawak,,,,
151/21 R (1000145773),Sarawak,"LORONG 1, KAMPUNG RUKAM",Village,1,27/1/2021,28/4/2021,Sarawak,,,,
139/21 R (1000145096),Sarawak,"102, TAMAN GENESIS PHASE 2, JLN BATU KAWA-MATANG",Village,1,21/1/2021,28/4/2021,Sarawak,,,,
100/21 R (1000145095),Sarawak,KAMPUNG SERAYAN,Village,1,22/1/2021,28/4/2021,Sarawak,,,,
97/21 R (1000145093),Sarawak,"NO 162, KAMPUNG BENUK, JLN PENRISSEN",Village,1,20/1/2021,28/4/2021,Sarawak,,,,
86/21 R (1000145092),Sarawak,"NO 626B, SIBURAN BT 17, JALAN KUCHING-SERIAN",Village,1,19/1/2021,28/4/2021,Sarawak,,,,
49/21 R (1000144316),Sarawak,"4A LORONG TUN AHMAD ZAIDI ADRUCE, SIBU",Village,1,8/1/2021,8/4/2021,Sarawak,,,,
47/21 R (1000144315),Sarawak,"JALAN DING LINK KWONG, 24, 96000 SIBU",Village,1,4/1/2021,8/4/2021,Sarawak,,,,
45/21 R (1000144314),Sarawak,WELDA INTERGRATED INDUSTRIAL SDN BHD,Village,1,11/1/2021,8/4/2021,Sarawak,,,,
28/21 R (1000144313),Sarawak,"BT 21, JALAN KUCHING/SERIAN, SERIAN",Village,1,4/1/2021,8/4/2021,Sarawak,,,,
2561/20 R (1000144311),Sarawak,"BATU 15, JALAN PENRISSEN, KUCHING",Village,1,29/12/2020,29/3/2021,Sarawak,,,,
2560/20 R (1000144310),Sarawak,"KAMPUNG SUNGAI KUT MUARA, DALAT",Village,1,19/12/2020,29/3/2021,Sarawak,,,,
2559/20 R (1000144309),Sarawak,"KAMPUNG DAUN, JALAN NGORI",Village,1,24/12/2020,29/3/2021,Sarawak,,,,
2551/20 R&2552/20 R&2553/20 R (1000144308),Sarawak,LOT 5919 C KAMPUNG MENDANG LIMAU,Village,1,23/12/2020,29/3/2021,Sarawak,,,,
2547/20 R (1000144307),Sarawak,"KAMPUNG PASAR SEMERA SADONG JAYA, 94600 ASAJAYA",Village,1,22/12/2020,29/3/2021,Sarawak,,,,
2546/20 R & 2548/20 R (1000144306),Sarawak,"KAMPUNG SUNGAI BULU SADONG JAYA, 94600 ASAJAYA",Village,1,22/12/2020,29/3/2021,Sarawak,,,,
23/21 R (1000144312),Sarawak,"RH DANCON BUA, ENGKELILI",Village,1,12/12/2020,15/3/2021,Sarawak,,,,
2503/20 R (1000144305),Sarawak,"KAMPUNG BARU, BRAWAN",Village,1,3/12/2020,15/3/2021,Sarawak,,,,
2501/20 R (1000144304),Sarawak,"TAMAN CAHAYA, LIMBANG",Village,1,7/12/2020,15/3/2021,Sarawak,,,,
2468/20 R (1000144303),Sarawak,"NO 111, LORONG 2/1, TAMAN HUI SING STAMPIN",Village,1,9/12/2020,15/3/2021,Sarawak,,,,
