Reference,Administrative divisions,Location,Epidemiological unit,Number of outbreaks,Start Date,End Date,State,Report,,State,Count of State
MVZT 3450/ 2021 (ob_94752),Alor Gajah,"Lot 1165, Paya Mengkuang, Sg Br Ilir,Masjid Tanah, Alor Gajah, Melaka",Farm,1,30/12/2021,12/4/2022,Melaka,,,,
MVZT 3320/ 2021 (ob_94751),Alor Gajah,"Lot 1163, Paya Mengkuang, Sg Br Ilir,Masjid Tanah, Alor Gajah, Melaka",Farm,1,25/12/2021,12/4/2022,Melaka,,,,
MVZT 3318/2021 (ob_94750),Alor Gajah,"Lot 2227, Paya Mengkuang, Mukim Sg Baru Hilir, Masjid Tanah",Farm,1,24/12/2021,14/4/2022,Melaka,,,,
MVZT 3303/ 2021 (ob_94749),Alor Gajah,"Lot 1138, Paya Mengkuang, Mukim Kuala Sungei Baru, Masjid Tanah",Farm,1,23/12/2021,11/4/2022,Melaka,,,,
MVZT 3307/ 2021 (ob_94748),Alor Gajah,"Lot 3431, Paya Mengkuang, Mukim Sg Baru Hilir, Masjid Tanah",Farm,1,23/12/2021,12/4/2022,Melaka,,,,
MVZT3288/2021 (ob_94747),Alor Gajah,"Lot 2222, Paya Mengkuang, Sg Br Ilir,Masjid Tanah, Alor Gajah, Melaka",Farm,1,17/12/2021,6/4/2022,Melaka,,,,
MVZT 3268/ 2021 (ob_94423),Alor Gajah,"Lot 2861, Paya Mengkuang, Sg Br Ilir,Masjid Tanah, Alor Gajah, Melaka",Farm,1,17/12/2021,12/4/2022,Melaka,,,,
MVZT 3272/ 2021 (ob_94422),Alor Gajah,"Lot 2847, Paya Mengkuang, Sg Br Ilir,Masjid Tanah, Alor Gajah, Melaka",Farm,1,9/12/2021,6/4/2022,Melaka,,,,
MVZT 3256/ 2021 (ob_94421),Alor Gajah,"Lot 2843, Paya Mengkuang, Sg Br Ilir,Masjid Tanah, Alor Gajah, Melaka",Farm,1,5/12/2021,3/4/2022,Melaka,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Reference,Administrative divisions,Location,Epidemiological unit,Number of outbreaks Start date,Start Date,End Date,State,Report,,State,Count of State
